"source_file","start_line","end_line","language","output_file"
"appendici/appendice-b-template.md","9","41","markdown","snippets/appendici/appendice-b-template/001-markdown.md"
"appendici/appendice-b-template.md","47","101","markdown","snippets/appendici/appendice-b-template/002-markdown.md"
"appendici/appendice-b-template.md","107","136","markdown","snippets/appendici/appendice-b-template/003-markdown.md"
"appendici/appendice-b-template.md","142","173","markdown","snippets/appendici/appendice-b-template/004-markdown.md"
"appendici/appendice-b-template.md","179","204","markdown","snippets/appendici/appendice-b-template/005-markdown.md"
"appendici/appendice-b-template.md","210","235","markdown","snippets/appendici/appendice-b-template/006-markdown.md"
"appendici/appendice-b-template.md","241","266","markdown","snippets/appendici/appendice-b-template/007-markdown.md"
"appendici/appendice-b-template.md","272","307","markdown","snippets/appendici/appendice-b-template/008-markdown.md"
"appendici/appendice-b-template.md","313","330","markdown","snippets/appendici/appendice-b-template/009-markdown.md"
"appendici/appendice-b-template.md","375","401","markdown","snippets/appendici/appendice-b-template/011-markdown.md"
"appendici/appendice-e-framework-adlc-reale.md","134","138","markdown","snippets/appendici/appendice-e-framework-adlc-reale/003-markdown.md"
"appendici/appendice-e-framework-adlc-reale.md","236","242","markdown","snippets/appendici/appendice-e-framework-adlc-reale/005-markdown.md"
"appendici/appendice-f-progetto-autonomo.md","38","113","markdown","snippets/appendici/appendice-f-progetto-autonomo/001-markdown.md"
"parte-i-il-paradigma/capitolo-01-la-rivoluzione-0-code.md","45","65","markdown","snippets/parte-i-il-paradigma/capitolo-01-la-rivoluzione-0-code/002-markdown.md"
"parte-i-il-paradigma/capitolo-02-ambiente-di-sviluppo.md","29","31","bash","snippets/parte-i-il-paradigma/capitolo-02-ambiente-di-sviluppo/001-bash.sh"
"parte-i-il-paradigma/capitolo-02-ambiente-di-sviluppo.md","34","36","bash","snippets/parte-i-il-paradigma/capitolo-02-ambiente-di-sviluppo/002-bash.sh"
"parte-i-il-paradigma/capitolo-02-ambiente-di-sviluppo.md","115","125","bash","snippets/parte-i-il-paradigma/capitolo-02-ambiente-di-sviluppo/003-bash.sh"
"parte-i-il-paradigma/capitolo-02-ambiente-di-sviluppo.md","304","313","json","snippets/parte-i-il-paradigma/capitolo-02-ambiente-di-sviluppo/011-json.json"
"parte-i-il-paradigma/capitolo-03-metodo-adlc.md","106","112","markdown","snippets/parte-i-il-paradigma/capitolo-03-metodo-adlc/001-markdown.md"
"parte-i-il-paradigma/capitolo-03-metodo-adlc.md","118","132","markdown","snippets/parte-i-il-paradigma/capitolo-03-metodo-adlc/002-markdown.md"
"parte-i-il-paradigma/capitolo-03-metodo-adlc.md","138","147","markdown","snippets/parte-i-il-paradigma/capitolo-03-metodo-adlc/003-markdown.md"
"parte-i-il-paradigma/capitolo-03-metodo-adlc.md","153","161","markdown","snippets/parte-i-il-paradigma/capitolo-03-metodo-adlc/004-markdown.md"
"parte-i-il-paradigma/capitolo-03-metodo-adlc.md","167","185","markdown","snippets/parte-i-il-paradigma/capitolo-03-metodo-adlc/005-markdown.md"
"parte-i-il-paradigma/capitolo-03-metodo-adlc.md","199","249","markdown","snippets/parte-i-il-paradigma/capitolo-03-metodo-adlc/006-markdown.md"
"parte-i-il-paradigma/capitolo-03-metodo-adlc.md","365","377","markdown","snippets/parte-i-il-paradigma/capitolo-03-metodo-adlc/012-markdown.md"
"parte-i-il-paradigma/capitolo-03-metodo-adlc.md","395","413","markdown","snippets/parte-i-il-paradigma/capitolo-03-metodo-adlc/014-markdown.md"
"parte-i-il-paradigma/capitolo-03-metodo-adlc.md","440","454","markdown","snippets/parte-i-il-paradigma/capitolo-03-metodo-adlc/016-markdown.md"
"parte-i-il-paradigma/capitolo-03-metodo-adlc.md","472","494","markdown","snippets/parte-i-il-paradigma/capitolo-03-metodo-adlc/018-markdown.md"
"parte-ii-primi-progetti/capitolo-04-hello-world.md","24","57","markdown","snippets/parte-ii-primi-progetti/capitolo-04-hello-world/001-markdown.md"
"parte-ii-primi-progetti/capitolo-04-hello-world.md","98","132","python","snippets/parte-ii-primi-progetti/capitolo-04-hello-world/003-python.py"
"parte-ii-primi-progetti/capitolo-04-hello-world.md","158","160","bash","snippets/parte-ii-primi-progetti/capitolo-04-hello-world/004-bash.sh"
"parte-ii-primi-progetti/capitolo-04-hello-world.md","172","175","bash","snippets/parte-ii-primi-progetti/capitolo-04-hello-world/006-bash.sh"
"parte-ii-primi-progetti/capitolo-04-hello-world.md","244","248","markdown","snippets/parte-ii-primi-progetti/capitolo-04-hello-world/010-markdown.md"
"parte-ii-primi-progetti/capitolo-05-applicazione-cli.md","26","121","markdown","snippets/parte-ii-primi-progetti/capitolo-05-applicazione-cli/001-markdown.md"
"parte-ii-primi-progetti/capitolo-05-applicazione-cli.md","207","209","bash","snippets/parte-ii-primi-progetti/capitolo-05-applicazione-cli/004-bash.sh"
"parte-ii-primi-progetti/capitolo-05-applicazione-cli.md","221","246","bash","snippets/parte-ii-primi-progetti/capitolo-05-applicazione-cli/006-bash.sh"
"parte-ii-primi-progetti/capitolo-05-applicazione-cli.md","305","312","markdown","snippets/parte-ii-primi-progetti/capitolo-05-applicazione-cli/010-markdown.md"
"parte-ii-primi-progetti/capitolo-06-rest-api.md","39","41","bash","snippets/parte-ii-primi-progetti/capitolo-06-rest-api/001-bash.sh"
"parte-ii-primi-progetti/capitolo-06-rest-api.md","44","47","bash","snippets/parte-ii-primi-progetti/capitolo-06-rest-api/002-bash.sh"
"parte-ii-primi-progetti/capitolo-06-rest-api.md","50","53","bash","snippets/parte-ii-primi-progetti/capitolo-06-rest-api/003-bash.sh"
"parte-ii-primi-progetti/capitolo-06-rest-api.md","67","177","markdown","snippets/parte-ii-primi-progetti/capitolo-06-rest-api/004-markdown.md"
"parte-ii-primi-progetti/capitolo-06-rest-api.md","211","215","bash","snippets/parte-ii-primi-progetti/capitolo-06-rest-api/006-bash.sh"
"parte-ii-primi-progetti/capitolo-06-rest-api.md","245","247","bash","snippets/parte-ii-primi-progetti/capitolo-06-rest-api/007-bash.sh"
"parte-ii-primi-progetti/capitolo-06-rest-api.md","258","260","bash","snippets/parte-ii-primi-progetti/capitolo-06-rest-api/009-bash.sh"
"parte-ii-primi-progetti/capitolo-06-rest-api.md","261","263","json","snippets/parte-ii-primi-progetti/capitolo-06-rest-api/010-json.json"
"parte-ii-primi-progetti/capitolo-06-rest-api.md","266","270","bash","snippets/parte-ii-primi-progetti/capitolo-06-rest-api/011-bash.sh"
"parte-ii-primi-progetti/capitolo-06-rest-api.md","271","273","json","snippets/parte-ii-primi-progetti/capitolo-06-rest-api/012-json.json"
"parte-ii-primi-progetti/capitolo-06-rest-api.md","276","278","bash","snippets/parte-ii-primi-progetti/capitolo-06-rest-api/013-bash.sh"
"parte-ii-primi-progetti/capitolo-06-rest-api.md","281","285","bash","snippets/parte-ii-primi-progetti/capitolo-06-rest-api/014-bash.sh"
